severity,issue_type,key,details
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60059stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60059stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60059stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60059stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60060stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60060stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60061stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60061stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60061stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60061stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60062stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60062stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60064stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60064stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60068stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60068stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60071stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60071stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60080stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60080stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60080stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60080stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60082stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60082stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60082stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60082stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60083stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60083stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60085stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60085stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60092stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60092stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60092stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60092stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60093stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60093stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60093stk02,id_lookup devolveu 0 BOIDs para bl_item_no=60093stk02 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60095stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60095stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60095stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60095stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60096stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60096stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60097stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60097stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60097stk02a,id_lookup devolveu 0 BOIDs para bl_item_no=60097stk02a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60097stk02b,id_lookup devolveu 0 BOIDs para bl_item_no=60097stk02b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60097stk03a,id_lookup devolveu 0 BOIDs para bl_item_no=60097stk03a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60097stk03b,id_lookup devolveu 0 BOIDs para bl_item_no=60097stk03b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60098stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60098stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60098stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60098stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60102stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60102stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60102stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60102stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60103stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60103stk01a (sem cor).
